Isotropic, class F                      
 
 
B    1000
    57.5    82.5    67.5     1.0
    57.5    37.5    77.5     1.0
    57.5    57.5    82.5     1.0
    57.5    77.5    87.5     1.0
    62.5    22.5     7.5     1.0
    62.5    52.5    12.5     1.0
    62.5    72.5    17.5     1.0
    62.5    87.5    22.5     1.0
    62.5    42.5    32.5     1.0
    62.5    62.5    37.5     1.0
    62.5    82.5    42.5     1.0
    62.5    32.5    52.5     1.0
    62.5    57.5    57.5     1.0
    62.5    77.5    62.5     1.0
    62.5    17.5    72.5     1.0
    62.5    47.5    77.5     1.0
    62.5    67.5    82.5     1.0
    62.5    87.5    87.5     1.0
    67.5    37.5     7.5     1.0
    67.5    62.5    12.5     1.0
    67.5    77.5    17.5     1.0
    67.5    27.5    27.5     1.0
    67.5    52.5    32.5     1.0
    67.5    72.5    37.5     1.0
    67.5     7.5    47.5     1.0
    67.5    47.5    52.5     1.0
    67.5    67.5    57.5     1.0
    67.5    82.5    62.5     1.0
    67.5    37.5    72.5     1.0
    67.5    57.5    77.5     1.0
    67.5    77.5    82.5     1.0
    72.5    22.5     2.5     1.0
    72.5    52.5     7.5     1.0
    72.5    72.5    12.5     1.0
    72.5    87.5    17.5     1.0
    72.5    42.5    27.5     1.0
    72.5    62.5    32.5     1.0
    72.5    82.5    37.5     1.0
    72.5    32.5    47.5     1.0
    72.5    57.5    52.5     1.0
    72.5    72.5    57.5     1.0
    72.5    17.5    67.5     1.0
    72.5    47.5    72.5     1.0
    72.5    67.5    77.5     1.0
    72.5    87.5    82.5     1.0
    77.5    37.5     2.5     1.0
    77.5    62.5     7.5     1.0
    77.5    77.5    12.5     1.0
    77.5    27.5    22.5     1.0
    77.5    52.5    27.5     1.0
    77.5    72.5    32.5     1.0
    77.5    87.5    37.5     1.0
    77.5    42.5    47.5     1.0
    77.5    67.5    52.5     1.0
    77.5    82.5    57.5     1.0
    77.5    32.5    67.5     1.0
    77.5    57.5    72.5     1.0
    77.5    77.5    77.5     1.0
    77.5    22.5    87.5     1.0
    82.5    52.5     2.5     1.0
    82.5    72.5     7.5     1.0
    82.5    87.5    12.5     1.0
    82.5    42.5    22.5     1.0
    82.5    62.5    27.5     1.0
    82.5    82.5    32.5     1.0
    82.5    32.5    42.5     1.0
    82.5    57.5    47.5     1.0
    82.5    72.5    52.5     1.0
    82.5    12.5    62.5     1.0
    82.5    47.5    67.5     1.0
    82.5    67.5    72.5     1.0
    82.5    87.5    77.5     1.0
    82.5    37.5    87.5     1.0
    87.5    62.5     2.5     1.0
    87.5    77.5     7.5     1.0
    87.5    27.5    17.5     1.0
    87.5    52.5    22.5     1.0
    87.5    72.5    27.5     1.0
    87.5    87.5    32.5     1.0
    87.5    42.5    42.5     1.0
    87.5    67.5    47.5     1.0
    87.5    82.5    52.5     1.0
    87.5    32.5    62.5     1.0
    87.5    57.5    67.5     1.0
    87.5    77.5    72.5     1.0
    87.5    22.5    82.5     1.0
    87.5    47.5    87.5     1.0
    92.5    67.5     2.5     1.0
    92.5    87.5     7.5     1.0
    92.5    42.5    17.5     1.0
    92.5    62.5    22.5     1.0
    92.5    82.5    27.5     1.0
    92.5    27.5    37.5     1.0
    92.5    57.5    42.5     1.0
    92.5    72.5    47.5     1.0
    92.5    12.5    57.5     1.0
    92.5    47.5    62.5     1.0
    92.5    67.5    67.5     1.0
    92.5    82.5    72.5     1.0
    92.5    37.5    82.5     1.0
    92.5    62.5    87.5     1.0
    97.5    77.5     2.5     1.0
    97.5    27.5    12.5     1.0
    97.5    52.5    17.5     1.0
    97.5    72.5    22.5     1.0
    97.5    87.5    27.5     1.0
    97.5    42.5    37.5     1.0
    97.5    62.5    42.5     1.0
    97.5    82.5    47.5     1.0
    97.5    32.5    57.5     1.0
    97.5    57.5    62.5     1.0
    97.5    77.5    67.5     1.0
    97.5    17.5    77.5     1.0
    97.5    47.5    82.5     1.0
    97.5    67.5    87.5     1.0
   102.5    87.5     2.5     1.0
